id,atom:entry,atom:entry/atom:id,atom:entry/atom:link,atom:entry/atom:published,atom:entry/atom:updated,atom:entry/atom:source/atom:generator,atom:entry/atom:title,atom:entry/atom:author/atom:name,atom:entry/atom:category,atom:entry/oreatom:triples/rdf:Description,atom:entry/oreatom:triples/rdf:Description/rdf:type,atom:entry/oreatom:triples/rdf:Description/dcterms:modified,atom:entry/oreatom:triples/rdf:Description/dcterms:description,date
oai:secundus.datadryad.org:10255/dryad.12,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.176+00:00
oai:secundus.datadryad.org:10255/dryad.16,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.178+00:00
oai:secundus.datadryad.org:10255/dryad.17,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.186+00:00
oai:secundus.datadryad.org:10255/dryad.18,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.190+00:00
oai:secundus.datadryad.org:10255/dryad.19,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.192+00:00
oai:secundus.datadryad.org:10255/dryad.20,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.199+00:00
oai:secundus.datadryad.org:10255/dryad.23,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.201+00:00
oai:secundus.datadryad.org:10255/dryad.25,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.204+00:00
oai:secundus.datadryad.org:10255/dryad.26,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.206+00:00
oai:secundus.datadryad.org:10255/dryad.27,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.210+00:00
oai:secundus.datadryad.org:10255/dryad.28,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.216+00:00
oai:secundus.datadryad.org:10255/dryad.29,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.220+00:00
oai:secundus.datadryad.org:10255/dryad.30,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.224+00:00
oai:secundus.datadryad.org:10255/dryad.31,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.228+00:00
oai:secundus.datadryad.org:10255/dryad.32,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.232+00:00
oai:secundus.datadryad.org:10255/dryad.33,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.236+00:00
oai:secundus.datadryad.org:10255/dryad.34,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.239+00:00
oai:secundus.datadryad.org:10255/dryad.35,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.243+00:00
oai:secundus.datadryad.org:10255/dryad.36,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.247+00:00
oai:secundus.datadryad.org:10255/dryad.37,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.251+00:00
oai:secundus.datadryad.org:10255/dryad.38,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.254+00:00
oai:secundus.datadryad.org:10255/dryad.39,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.258+00:00
oai:secundus.datadryad.org:10255/dryad.40,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.262+00:00
oai:secundus.datadryad.org:10255/dryad.41,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.266+00:00
oai:secundus.datadryad.org:10255/dryad.42,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.270+00:00
oai:secundus.datadryad.org:10255/dryad.43,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.274+00:00
oai:secundus.datadryad.org:10255/dryad.44,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.278+00:00
oai:secundus.datadryad.org:10255/dryad.45,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.282+00:00
oai:secundus.datadryad.org:10255/dryad.46,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.286+00:00
oai:secundus.datadryad.org:10255/dryad.47,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.290+00:00
oai:secundus.datadryad.org:10255/dryad.48,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.294+00:00
oai:secundus.datadryad.org:10255/dryad.49,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.297+00:00
oai:secundus.datadryad.org:10255/dryad.50,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.301+00:00
oai:secundus.datadryad.org:10255/dryad.51,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.305+00:00
oai:secundus.datadryad.org:10255/dryad.52,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.309+00:00
oai:secundus.datadryad.org:10255/dryad.53,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.313+00:00
oai:secundus.datadryad.org:10255/dryad.54,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.316+00:00
oai:secundus.datadryad.org:10255/dryad.55,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.320+00:00
oai:secundus.datadryad.org:10255/dryad.56,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.324+00:00
oai:secundus.datadryad.org:10255/dryad.57,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.328+00:00
oai:secundus.datadryad.org:10255/dryad.58,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:26.332+00:00
oai:secundus.datadryad.org:10255/dryad.59,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:26.337+00:00
