id,rdf:RDF,rdf:RDF/ow:Publication,rdf:RDF/ow:Publication/dc:creator,rdf:RDF/ow:Publication/dc:date,rdf:RDF/ow:Publication/dc:identifier,rdf:RDF/ow:Publication/dc:description,rdf:RDF/ow:Publication/dc:language,rdf:RDF/ow:Publication/dc:relation,rdf:RDF/ow:Publication/dc:title,rdf:RDF/ow:Publication/dc:type,rdf:RDF/ow:Publication/dc:contributor,rdf:RDF/ow:Publication/dc:source,rdf:RDF/ow:Publication/dc:rights,rdf:RDF/ow:Publication/dc:publisher,rdf:RDF/ow:Publication/dc:coverage,rdf:RDF/ow:Publication/dc:subject,date
oai:secundus.datadryad.org:10255/dryad.12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-12-06T20:55:28Z
oai:secundus.datadryad.org:10255/dryad.16,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,2007-12-14T21:38:07Z
oai:secundus.datadryad.org:10255/dryad.17,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,2007-12-14T21:38:08Z
oai:secundus.datadryad.org:10255/dryad.18,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2007-12-14T22:27:55Z
oai:secundus.datadryad.org:10255/dryad.19,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,2007-12-14T22:32:19Z
oai:secundus.datadryad.org:10255/dryad.20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2007-12-17T20:28:42Z
oai:secundus.datadryad.org:10255/dryad.23,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2007-12-20T21:55:22Z
oai:secundus.datadryad.org:10255/dryad.25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2008-01-02T20:17:56Z
oai:secundus.datadryad.org:10255/dryad.26,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,2008-01-02T20:18:48Z
oai:secundus.datadryad.org:10255/dryad.27,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-01-02T20:23:15Z
oai:secundus.datadryad.org:10255/dryad.28,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2008-01-08T16:22:16Z
oai:secundus.datadryad.org:10255/dryad.29,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,2008-01-08T16:31:28Z
oai:secundus.datadryad.org:10255/dryad.30,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,2008-01-08T16:38:48Z
oai:secundus.datadryad.org:10255/dryad.31,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,2008-01-08T16:42:14Z
oai:secundus.datadryad.org:10255/dryad.32,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,2008-01-08T16:45:21Z
oai:secundus.datadryad.org:10255/dryad.33,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:07:01Z
oai:secundus.datadryad.org:10255/dryad.34,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:11:22Z
oai:secundus.datadryad.org:10255/dryad.35,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:13:39Z
oai:secundus.datadryad.org:10255/dryad.36,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:16:04Z
oai:secundus.datadryad.org:10255/dryad.37,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:18:32Z
oai:secundus.datadryad.org:10255/dryad.38,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:20:48Z
oai:secundus.datadryad.org:10255/dryad.39,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:23:15Z
oai:secundus.datadryad.org:10255/dryad.40,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:27:17Z
oai:secundus.datadryad.org:10255/dryad.41,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:29:18Z
oai:secundus.datadryad.org:10255/dryad.42,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:31:21Z
oai:secundus.datadryad.org:10255/dryad.43,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:34:32Z
oai:secundus.datadryad.org:10255/dryad.44,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:36:57Z
oai:secundus.datadryad.org:10255/dryad.45,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:39:13Z
oai:secundus.datadryad.org:10255/dryad.46,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:41:24Z
oai:secundus.datadryad.org:10255/dryad.47,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:44:07Z
oai:secundus.datadryad.org:10255/dryad.48,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:46:20Z
oai:secundus.datadryad.org:10255/dryad.49,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:48:20Z
oai:secundus.datadryad.org:10255/dryad.50,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,2008-01-08T20:50:37Z
