id,qdc:qualifieddc,qdc:qualifieddc/dc:title,qdc:qualifieddc/dc:creator,qdc:qualifieddc/dc:subject,qdc:qualifieddc/dc:description,qdc:qualifieddc/dc:date,qdc:qualifieddc/dc:type,qdc:qualifieddc/dc:identifier,qdc:qualifieddc/dc:relation,qdc:qualifieddc/dc:rights,qdc:qualifieddc/dcterms:hasPart,qdc:qualifieddc/dcterms:hasVersion,date
oai:figshare.com:article/8153486,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:17:44Z
oai:figshare.com:article/8153477,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:10:44Z
oai:figshare.com:article/8117927,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:10:01Z
oai:figshare.com:article/6373736,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:08:04Z
oai:figshare.com:article/8153447,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:54Z
oai:figshare.com:article/8153441,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:15Z
oai:figshare.com:article/8153438,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:14Z
oai:figshare.com:article/8153435,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:13Z
oai:figshare.com:article/8153432,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:12Z
oai:figshare.com:article/8153429,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:11Z
oai:figshare.com:article/8153426,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:10Z
oai:figshare.com:article/8153423,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:09Z
oai:figshare.com:article/8153420,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:09Z
oai:figshare.com:article/8153417,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:08Z
oai:figshare.com:article/8153414,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:07Z
oai:figshare.com:article/8153411,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:58:06Z
oai:figshare.com:article/7688966,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:55:00Z
oai:figshare.com:article/8153402,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:54:54Z
oai:figshare.com:article/8109026,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:52:54Z
oai:figshare.com:article/8153399,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:51:26Z
oai:figshare.com:article/8153396,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:51:25Z
oai:figshare.com:article/8011352,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:44:29Z
oai:figshare.com:article/8153234,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:40:52Z
oai:figshare.com:article/8153192,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:40:15Z
oai:figshare.com:article/8153342,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:38:57Z
oai:figshare.com:article/8153336,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:38:25Z
oai:figshare.com:article/8153327,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:37:01Z
oai:figshare.com:article/8153306,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:34:31Z
oai:figshare.com:article/8153297,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:33:21Z
oai:figshare.com:article/8153294,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:31:36Z
oai:figshare.com:article/8153288,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:31:28Z
oai:figshare.com:article/8153291,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:31:28Z
oai:figshare.com:article/7924688,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:30:06Z
oai:figshare.com:article/8153282,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T13:26:54Z
oai:figshare.com:article/8153279,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:26:30Z
oai:figshare.com:article/8153276,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:26:29Z
oai:figshare.com:article/8153273,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:26:28Z
oai:figshare.com:article/8153270,1,1,1,1,1,1,1,1,1,1,0,1,2019-05-20T13:26:28Z
