id,rdf:RDF,rdf:RDF/Thesis,rdf:RDF/Thesis/bibo:doi,rdf:RDF/Thesis/rdfs:label,rdf:RDF/Thesis/vivo:datePublished,rdf:RDF/Thesis/vivo:dateModified,rdf:RDF/Thesis/bibo:abstract,rdf:RDF/Thesis/bibo:freetextKeyword,rdf:RDF/Thesis/dc:rights,rdf:RDF/vivo:Authorship,rdf:RDF/vivo:Authorship/vivo:relates/vcard:Individual,rdf:RDF/vivo:Authorship/vivo:relates/vcard:Individual/vcard:hasName,rdf:RDF/vivo:Authorship/vivo:relates,rdf:RDF/vivo:Authorship/vivo:rank,rdf:RDF/vcard:Name,rdf:RDF/vcard:Name/vcard:givenName,rdf:RDF/vcard:Name/vcard:familyName,rdf:RDF/ConferencePaper,rdf:RDF/ConferencePaper/bibo:doi,rdf:RDF/ConferencePaper/rdfs:label,rdf:RDF/ConferencePaper/vivo:datePublished,rdf:RDF/ConferencePaper/vivo:dateModified,rdf:RDF/ConferencePaper/bibo:abstract,rdf:RDF/ConferencePaper/bibo:freetextKeyword,rdf:RDF/ConferencePaper/dc:rights,rdf:RDF/Collection,rdf:RDF/Collection/bibo:doi,rdf:RDF/Collection/rdfs:label,rdf:RDF/Collection/vivo:datePublished,rdf:RDF/Collection/vivo:dateModified,rdf:RDF/Collection/bibo:abstract,rdf:RDF/Collection/bibo:freetextKeyword,rdf:RDF/Collection/dc:rights,rdf:RDF/Image,rdf:RDF/Image/bibo:doi,rdf:RDF/Image/rdfs:label,rdf:RDF/Image/vivo:datePublished,rdf:RDF/Image/vivo:dateModified,rdf:RDF/Image/bibo:abstract,rdf:RDF/Image/bibo:freetextKeyword,rdf:RDF/Image/dc:rights,rdf:RDF/ConferencePoster,rdf:RDF/ConferencePoster/bibo:doi,rdf:RDF/ConferencePoster/rdfs:label,rdf:RDF/ConferencePoster/vivo:datePublished,rdf:RDF/ConferencePoster/vivo:dateModified,rdf:RDF/ConferencePoster/bibo:abstract,rdf:RDF/ConferencePoster/bibo:freetextKeyword,rdf:RDF/ConferencePoster/dc:rights,rdf:RDF/AudioVisualDocument,rdf:RDF/AudioVisualDocument/bibo:doi,rdf:RDF/AudioVisualDocument/rdfs:label,rdf:RDF/AudioVisualDocument/vivo:datePublished,rdf:RDF/AudioVisualDocument/vivo:dateModified,rdf:RDF/AudioVisualDocument/bibo:abstract,rdf:RDF/AudioVisualDocument/bibo:freetextKeyword,rdf:RDF/AudioVisualDocument/dc:rights,rdf:RDF/Slideshow,rdf:RDF/Slideshow/bibo:doi,rdf:RDF/Slideshow/rdfs:label,rdf:RDF/Slideshow/vivo:datePublished,rdf:RDF/Slideshow/vivo:dateModified,rdf:RDF/Slideshow/bibo:abstract,rdf:RDF/Slideshow/bibo:freetextKeyword,rdf:RDF/Slideshow/dc:rights,rdf:RDF/vivo:Authorship/vivo:relates/vcard:Individual/obo:ARG_2000029/foaf:Person,rdf:RDF/vivo:Authorship/vivo:relates/vcard:Individual/obo:ARG_2000029/foaf:Person/vivo:orcidId,rdf:RDF/vivo:Authorship/vivo:relates/vcard:Individual/obo:ARG_2000029/foaf:Person/rdfs:label,rdf:RDF/vivo:Thing,rdf:RDF/ERO_0000071,rdf:RDF/ERO_0000071/bibo:doi,rdf:RDF/ERO_0000071/rdfs:label,rdf:RDF/ERO_0000071/vivo:datePublished,rdf:RDF/ERO_0000071/vivo:dateModified,rdf:RDF/ERO_0000071/bibo:abstract,rdf:RDF/ERO_0000071/bibo:freetextKeyword,rdf:RDF/ERO_0000071/dc:rights,rdf:RDF/Webpage,rdf:RDF/Webpage/bibo:doi,rdf:RDF/Webpage/rdfs:label,rdf:RDF/Webpage/vivo:datePublished,rdf:RDF/Webpage/vivo:dateModified,rdf:RDF/Webpage/bibo:abstract,rdf:RDF/Webpage/bibo:freetextKeyword,rdf:RDF/Webpage/dc:rights,date
oai:figshare.com:article/8153486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153477,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8117927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153447,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153441,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153438,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153435,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153432,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153429,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
oai:figshare.com:article/8153426,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-5-20
