id,oai_dc:dc,oai_dc:dc/dc:title,oai_dc:dc/dc:publisher,oai_dc:dc/dc:identifier,oai_dc:dc/dc:source,oai_dc:dc/dc:description,oai_dc:dc/dc:type,oai_dc:dc/dc:creator,oai_dc:dc/dc:date,oai_dc:dc/dc:language,oai_dc:dc/dc:format,oai_dc:dc/dc:subject,oai_dc:dc/dc:coverage,date
e0970aec-3eb5-4b39-a85f-2b23900cd153,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
2add5d6b-8519-4334-bd86-7fe42a85a106,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
53c92371-9369-4586-b04a-85279ec7d276,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f155c619-ee05-44b6-a8b1-feb851ca1af5,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
05961829-968b-4bc0-87c2-67bd60072ce7,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
03ab9bb4-3e3e-4299-817a-1326f44df429,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
849dcd63-d0a7-4903-935c-2ad89b208831,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c9304687-1140-4c3d-92ca-3a0cf433bb08,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
87c6546c-494b-4271-94e0-b4d15b19c56b,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
deacadb5-6964-4aa8-84a0-daef846a0396,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
2a020626-f41a-45d7-aba5-b5ebfed8cec9,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c195b7f3-6512-4f37-9f2b-1446525144db,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
08eb2543-8ce6-4fc9-8225-edffaaa77bd0,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d45cd682-b4a0-4118-bfc8-eea3fb752aff,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20
8bb17a01-6ca6-4225-a42c-be3cb22e3db0,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
27a1ad86-5c09-4411-b875-1773ddc8145a,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
0d5fbed1-17b0-4f03-9093-b6177c698caa,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
25d05141-3372-42b2-aa34-144e14998894,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
ca0570b0-b758-4c93-bb01-c4f54775d03b,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-17
ff562a82-53c1-48ca-bfdc-19475197cf92,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-17
649cf26c-a0b9-4f54-abd4-07fa14b8ae79,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
dca17dac-2df9-4657-91f6-b4f6a9407630,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
dd86f4af-802c-406f-84b3-666b86d34c61,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d0833a3c-ac0d-4bbc-ad65-219feaec7d5b,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
a0e2085d-b45d-48b2-80d5-3b31c4a4d806,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
ae7720a1-dcad-40b1-8f4b-317fe9348bb8,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
7562065b-c56c-43cd-9740-c3c220af6ab3,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4ef255bc-309b-4342-a05a-0f18046e5d44,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
468babe7-7f02-4c42-94f9-1289a0d0a8fd,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
9653f702-77b8-4e3a-a11a-a496a0ba9452,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
79bf8f3a-fd1a-4cc2-9e00-4901b4d2876d,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4f86435d-e304-47e0-95e8-bb1ba9e8e79a,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
10d4ea8d-9feb-44ba-961c-ddbb8732fa8f,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
6ca390f7-b377-4313-a657-16b44a5dc52e,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
dc692432-d85c-46cc-82bc-2fb1ff38decc,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
cfd95755-907c-480a-a08f-11d6cbb1e2b5,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
c05774c5-b126-4f9e-90ae-a812f74f67ab,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
43122b21-1230-49a9-9af8-4df4df950ecb,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
705c0c0a-cf0a-4dd2-9332-d42db4601ffd,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
27be081b-0250-4cfe-ab5c-e835a66772b8,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
ddd87e59-4457-4f8b-950a-0a42c7ae5226,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
c8d09c03-2715-4f29-9158-fb22094cc3b5,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
301b8100-b71b-467c-8f69-e9fdc8cf3b73,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
c5c7b7e6-ca7e-4076-9d64-a58884bf16ad,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
028af953-8d01-4b7d-a0a0-78a21c002763,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
9e5a422c-aaab-4e23-ae1c-2b921f6363cb,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
a07ef523-a8ee-442c-ab56-3bfc4cbe10b9,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
dbbdb1f4-d5c7-4b72-b31f-ef6fdf33a9b3,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
8daa0a17-dc87-41eb-a13a-1a6ca56894dc,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
7699d7ee-bcc2-4c67-b0b6-a82d8db4575b,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
80beb144-b111-4f16-9e71-f759ea7006a2,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
53c94997-8758-4261-91d9-ac9f4ebe73d2,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-17
2c57ccb3-b64d-4005-8a17-5cb6094bf131,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
f0c7a46c-42f3-48c5-8c7d-d39da269d9df,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
453c03ec-f64f-4475-9550-f57e34d2e266,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
bc689683-8dd5-442e-90a6-adbb7221aad6,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
5882d26c-95d0-4b67-87d4-6e91cfdbf789,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c92ad4f3-1985-414c-b0eb-b18cc3679ed2,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
2be13edb-468c-4397-aa8b-845a3ba71a52,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
8287097d-cec6-4103-b23e-fb5374b1ee06,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
34e5d258-a1bc-49c6-8c25-56609a300015,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-13
933de798-383e-46d7-ac1c-2607a36d7f10,1,1,1,1,1,0,1,0,0,1,1,0,0,2019-05-16T13:25:43Z_header
081304be-3a8b-436d-a9b4-185b6cdda870,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
c888f0dc-e34f-4c5f-a634-d69c320ada4c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
3733ef1e-8696-44f1-99d7-d473c509608c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
c695c731-b08c-477d-a807-4081f4c2a9f3,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
93d412c8-defe-4417-a5a4-f0b978d55e3f,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4cb8165d-2c33-442f-b948-ff038cf149e1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-16
a069bd52-2bf8-45ee-98b7-2a6d1fcf5cac,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
cd2abe34-b1ec-44ad-8c31-a7689817db77,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
3ebee944-1e6e-45d8-bba7-986581409c12,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
80d29977-724b-431e-9a98-5eaf7a8c3651,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
6d6ea0e4-8a8e-49c0-9853-a378a06dba74,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
33a05386-c01c-41fd-9855-3695876e2458,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
4c9c5163-7fce-43f3-be05-c64780788e96,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
6a60a6f0-097b-4db7-b6e4-eef760e397c9,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
89c53edb-0fac-4118-bdc0-d70ca50953dc,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-05-16
8c3d903d-6d82-45d1-a1c0-b29f5b97d0c1,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
81e87d37-68e3-49cf-b900-943aaef6398e,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d5ce5b6c-1740-4063-8636-f3db97a0aa13,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
9db4515c-7f05-4cd4-b281-7b45861fe49c,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
243e4f17-37dc-46b5-bfd5-5cc6f3dc8499,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
d28aa153-6814-48c1-91c2-f9a39788825e,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
e12b1516-6759-4f52-96ac-208050b51a4b,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
269321d2-8c60-4be5-b879-b516f39f62b9,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
a0c45123-9373-4b1b-adc9-bf6a4796bc23,1,1,1,1,1,1,1,1,1,1,1,0,0,2019-01-01
63f1a4ba-4554-4116-a5c2-e14623e9a4f9,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-14
