id,resource,resource/identifier,resource/creators/creator/creatorName,resource/creators/creator/nameIdentifier,resource/titles/title,resource/publisher,resource/publicationYear,resource/subjects/subject,resource/dates/date,resource/language,resource/resourceType,resource/relatedIdentifiers/relatedIdentifier,resource/sizes/size,resource/formats/format,resource/rightsList/rights,resource/descriptions/description,resource/geoLocations/geoLocation/geoLocationBox,resource/contributors/contributor,resource/contributors/contributor/contributorName,resource/descriptions/description/br,resource/geoLocations/geoLocation/geoLocationPoint,date
oai:pangaea.de:doi:10.1594/PANGAEA.66871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2002
oai:pangaea.de:doi:10.1594/PANGAEA.472208,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2005
oai:pangaea.de:doi:10.1594/PANGAEA.472241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2002
oai:pangaea.de:doi:10.1594/PANGAEA.472281,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.472287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.472293,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2007
oai:pangaea.de:doi:10.1594/PANGAEA.472492,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2000
oai:pangaea.de:doi:10.1594/PANGAEA.475995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.476007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.477984,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.484066,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.484677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2005
oai:pangaea.de:doi:10.1594/PANGAEA.485006,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.509841,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.510729,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510744,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510745,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510746,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510747,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510748,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510749,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510750,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.510751,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2000
oai:pangaea.de:doi:10.1594/PANGAEA.510752,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2000
oai:pangaea.de:doi:10.1594/PANGAEA.510753,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2000
oai:pangaea.de:doi:10.1594/PANGAEA.510754,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2000
oai:pangaea.de:doi:10.1594/PANGAEA.510755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2000
oai:pangaea.de:doi:10.1594/PANGAEA.510756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2000
oai:pangaea.de:doi:10.1594/PANGAEA.510757,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2000
oai:pangaea.de:doi:10.1594/PANGAEA.510758,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510759,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510763,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510764,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510765,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510766,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510767,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510768,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510771,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2001
oai:pangaea.de:doi:10.1594/PANGAEA.510837,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.525770,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.526941,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.527976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.536199,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547755,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547786,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.547981,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1998
oai:pangaea.de:doi:10.1594/PANGAEA.547983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2008
oai:pangaea.de:doi:10.1594/PANGAEA.547989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.548021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2006
oai:pangaea.de:doi:10.1594/PANGAEA.548070,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2003
oai:pangaea.de:doi:10.1594/PANGAEA.548396,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1970
oai:pangaea.de:doi:10.1594/PANGAEA.548400,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1970
oai:pangaea.de:doi:10.1594/PANGAEA.548404,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1971
oai:pangaea.de:doi:10.1594/PANGAEA.548408,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1971
oai:pangaea.de:doi:10.1594/PANGAEA.548409,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1971
