id,oai_dc:dc,oai_dc:dc/dc:title,oai_dc:dc/dc:creator,oai_dc:dc/dc:source,oai_dc:dc/dc:publisher,oai_dc:dc/dc:date,oai_dc:dc/dc:type,oai_dc:dc/dc:format,oai_dc:dc/dc:identifier,oai_dc:dc/dc:description,oai_dc:dc/dc:language,oai_dc:dc/dc:rights,oai_dc:dc/dc:coverage,oai_dc:dc/dc:subject,oai_dc:dc/dc:relation,date
oai:pangaea.de:doi:10.1594/PANGAEA.66871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2002-04-06
oai:pangaea.de:doi:10.1594/PANGAEA.472208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2005-06-23
oai:pangaea.de:doi:10.1594/PANGAEA.472241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2002-04-06
oai:pangaea.de:doi:10.1594/PANGAEA.472281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-06-27
oai:pangaea.de:doi:10.1594/PANGAEA.472287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2006-06-28
oai:pangaea.de:doi:10.1594/PANGAEA.472293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-06-28
oai:pangaea.de:doi:10.1594/PANGAEA.472492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2000-06-03
oai:pangaea.de:doi:10.1594/PANGAEA.475995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2007-07-10
oai:pangaea.de:doi:10.1594/PANGAEA.476007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-07-10
oai:pangaea.de:doi:10.1594/PANGAEA.477984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-07-12
oai:pangaea.de:doi:10.1594/PANGAEA.484066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-07-13
oai:pangaea.de:doi:10.1594/PANGAEA.484677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2005-05-11
oai:pangaea.de:doi:10.1594/PANGAEA.485006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2001-07-22
oai:pangaea.de:doi:10.1594/PANGAEA.509841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2006-08-14
