cold seep
climate change
IUCN red list
species richness
functional group
ecosystem service
oxygen uptake
crop yield
host plant
Deepwater Horizon (oil spill)
(German) Tree of The Year
N cycle
nitrogen cycle
soil moisture
critical zone
marine phage
molecular marker
nitrogen transformation
functional diversity
insect infestation
land use
driver
nitrate leaching
trace gas
CO2 fixation/ carbon fixation
biological signals/ biosignals
land-management
carbon cycle
food webs
land abandonment
leaf area index
ocean acidification
coral bleaching
host
gut microbiome
organic matter
soil born
forest floor
seepage water
diversity
water content
carbon content
